folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day,timebins_10,measure,Probability,Value,Freq
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,25,1440,1500,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,25,1440,1500,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,1
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,25,1440,1500,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,28,1620,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,28,1620,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,28,1620,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,28,1620,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,29,1680,1740,3,2.50000000000023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,High,3
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,29,1680,1740,3,2.50000000000023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,29,1680,1740,3,2.50000000000023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,1
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,29,1680,1740,3,2.50000000000023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,30,1740,1800,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,High,1
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,30,1740,1800,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,LP,P100,Low,0
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,30,1740,1800,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,High,1
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,30,1740,1800,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13,3,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,1,0,60,0,0,1,0.340000000000003,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,1,0,60,0,0,1,0.340000000000003,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,1,0,60,0,0,1,0.340000000000003,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,1,0,60,0,0,1,0.340000000000003,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,2,60,120,11,3.03999999999999,0,0,0,0,0,0,0,0,5,5,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,2,60,120,11,3.03999999999999,0,0,0,0,0,0,0,0,5,5,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,11
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,2,60,120,11,3.03999999999999,0,0,0,0,0,0,0,0,5,5,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,2,60,120,11,3.03999999999999,0,0,0,0,0,0,0,0,5,5,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,5
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,3,120,180,0,0,1,0.299999999999983,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,3,120,180,0,0,1,0.299999999999983,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,3,120,180,0,0,1,0.299999999999983,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,3,120,180,0,0,1,0.299999999999983,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,6,300,360,12,5.36000000000007,0,0,0,0,0,0,0,0,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,6,300,360,12,5.36000000000007,0,0,0,0,0,0,0,0,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,12
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,6,300,360,12,5.36000000000007,0,0,0,0,0,0,0,0,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,6,300,360,12,5.36000000000007,0,0,0,0,0,0,0,0,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,4
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,10,540,600,0,0,11,2.74000000000012,0,0,0,0,5,4.62,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,High,11
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,10,540,600,0,0,11,2.74000000000012,0,0,0,0,5,4.62,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,10,540,600,0,0,11,2.74000000000012,0,0,0,0,5,4.62,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,High,5
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,10,540,600,0,0,11,2.74000000000012,0,0,0,0,5,4.62,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,11,600,660,0,0,2,0.519999999999982,0,0,0,0,1,1.38,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,2
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,11,600,660,0,0,2,0.519999999999982,0,0,0,0,1,1.38,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,11,600,660,0,0,2,0.519999999999982,0,0,0,0,1,1.38,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,11,600,660,0,0,2,0.519999999999982,0,0,0,0,1,1.38,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,12,660,720,18,5.37999999999954,0,0,0,0,0,0,0,0,6,6,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,12,660,720,18,5.37999999999954,0,0,0,0,0,0,0,0,6,6,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,18
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,12,660,720,18,5.37999999999954,0,0,0,0,0,0,0,0,6,6,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,12,660,720,18,5.37999999999954,0,0,0,0,0,0,0,0,6,6,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,6
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,13,720,780,1,0.680000000000064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,13,720,780,1,0.680000000000064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,13,720,780,1,0.680000000000064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,13,720,780,1,0.680000000000064,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,14,780,840,0,0,3,1.42000000000007,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,3
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,14,780,840,0,0,3,1.42000000000007,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,14,780,840,0,0,3,1.42000000000007,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,14,780,840,0,0,3,1.42000000000007,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,15,840,900,0,0,1,0.220000000000027,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,15,840,900,0,0,1,0.220000000000027,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,15,840,900,0,0,1,0.220000000000027,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,15,840,900,0,0,1,0.220000000000027,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,16,900,960,12,3.63999999999987,2,1.15999999999997,0,0,0,0,1,1,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,2
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,16,900,960,12,3.63999999999987,2,1.15999999999997,0,0,0,0,1,1,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,12
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,16,900,960,12,3.63999999999987,2,1.15999999999997,0,0,0,0,1,1,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,16,900,960,12,3.63999999999987,2,1.15999999999997,0,0,0,0,1,1,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,4
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,17,960,1020,0,0,2,0.0400000000000773,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,2
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,17,960,1020,0,0,2,0.0400000000000773,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,17,960,1020,0,0,2,0.0400000000000773,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,17,960,1020,0,0,2,0.0400000000000773,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,High,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,19,1080,1140,0,0,1,1.1400000000001,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,High,1
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,19,1080,1140,0,0,1,1.1400000000001,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13,2,LP,P100,Low,0
